1;Веритате;352.82254166666667;39.23619722222222;1.02
2;Нембус;24.498166666666666;48.62821388888889;1.28
3;Альферац;2.0969166666666665;29.090430555555553;-0.11
4;Мирах;17.433;35.620558333333335;1.57
5;Аламак;30.974791666666665;42.329727777777784;1.2
6;Адхил;20.584958333333336;45.52875;1.083
7;Титавин;24.199333333333335;41.405455555555555;0.54
8;Кастор;113.64945833333333;31.888283333333334;0.04
9;Поллукс;116.32895833333333;28.0262;1
10;Альхена;99.42791666666668;16.399166666666666;0
11;Васат;110.03075;21.982316666666666;0.34
12;Мебсута;100.98304166666667;25.131125;1.41
13;Мекбуда;106.02708333333334;20.570305555555557;0.55
14;Пропус;93.71941666666666;22.506794444444445;1.61
15;Теят;95.740125;22.513583333333333;1.643
16;Альзирр;101.32233333333333;12.895591666666666;0.43
17;Цзишуй;114.79141666666666;34.5843;0.4
18;Йота Близнецов;111.43166666666666;27.798080555555558;1.04
19;Зубен эль Шемали;229.44583333333333;-8.617138888888888;-0.11
20;Зубен эль Генуби;222.71991666666665;-15.958388888888889;0.4
21;Брахиум;226.01775;-24.71813888888889;1.7
22;Ипсилон Весов;234.25608333333332;-27.864916666666666;1.39
23;Тау Весов;234.6640833333333;29.777694444444442;-0.179
24;Зубен эль Акраб;233.88141666666667;14.789555555555555;1.17
25;Бетельгейзе;90;20;1.85
26;Сириус;105;-16;0
